name,city_code,prefecture
札幌市,11002,1
函館市,12025,1
小樽市,12033,1
旭川市,12041,1
室蘭市,12050,1
釧路市,12068,1
帯広市,12076,1
北見市,12084,1
夕張市,12092,1
岩見沢市,12106,1
網走市,12114,1
留萌市,12122,1
苫小牧市,12131,1
稚内市,12149,1
美唄市,12157,1
芦別市,12165,1
江別市,12173,1
赤平市,12181,1
紋別市,12190,1
士別市,12203,1
名寄市,12211,1
三笠市,12220,1
根室市,12238,1
千歳市,12246,1
滝川市,12254,1
砂川市,12262,1
歌志内市,12271,1
深川市,12289,1
富良野市,12297,1
登別市,12301,1
恵庭市,12319,1
伊達市,12335,1
北広島市,12343,1
石狩市,12351,1
北斗市,12360,1
当別町,13030,1
新篠津村,13048,1
松前町,13315,1
福島町,13323,1
知内町,13331,1
木古内町,13340,1
七飯町,13374,1
鹿部町,13439,1
森町,13455,1
八雲町,13463,1
長万部町,13471,1
江差町,13617,1
上ノ国町,13625,1
厚沢部町,13633,1
乙部町,13641,1
奥尻町,13676,1
今金町,13706,1
せたな町,13714,1
島牧村,13919,1
寿都町,13927,1
黒松内町,13935,1
蘭越町,13943,1
ニセコ町,13951,1
真狩村,13960,1
留寿都村,13978,1
喜茂別町,13986,1
京極町,13994,1
倶知安町,14001,1
共和町,14010,1
岩内町,14028,1
泊村,14036,1
神恵内村,14044,1
積丹町,14052,1
古平町,14061,1
仁木町,14079,1
余市町,14087,1
赤井川村,14095,1
南幌町,14231,1
奈井江町,14249,1
上砂川町,14257,1
由仁町,14273,1
長沼町,14281,1
栗山町,14290,1
月形町,14303,1
浦臼町,14311,1
新十津川町,14320,1
妹背牛町,14338,1
秩父別町,14346,1
雨竜町,14362,1
北竜町,14371,1
沼田町,14389,1
鷹栖町,14524,1
東神楽町,14532,1
当麻町,14541,1
比布町,14559,1
愛別町,14567,1
上川町,14575,1
東川町,14583,1
美瑛町,14591,1
上富良野町,14605,1
中富良野町,14613,1
南富良野町,14621,1
占冠村,14630,1
和寒町,14648,1
剣淵町,14656,1
下川町,14681,1
美深町,14699,1
音威子府村,14702,1
中川町,14711,1
幌加内町,14729,1
増毛町,14818,1
小平町,14826,1
苫前町,14834,1
羽幌町,14842,1
初山別村,14851,1
遠別町,14869,1
天塩町,14877,1
猿払村,15113,1
浜頓別町,15121,1
中頓別町,15130,1
枝幸町,15148,1
豊富町,15164,1
礼文町,15172,1
利尻町,15181,1
利尻富士町,15199,1
幌延町,15202,1
美幌町,15431,1
津別町,15440,1
斜里町,15458,1
清里町,15466,1
小清水町,15474,1
訓子府町,15491,1
置戸町,15504,1
佐呂間町,15521,1
遠軽町,15555,1
湧別町,15598,1
滝上町,15601,1
興部町,15610,1
西興部村,15628,1
雄武町,15636,1
大空町,15644,1
豊浦町,15717,1
壮瞥町,15750,1
白老町,15784,1
厚真町,15814,1
洞爺湖町,15849,1
安平町,15857,1
むかわ町,15865,1
日高町,16012,1
平取町,16021,1
新冠町,16047,1
浦河町,16071,1
様似町,16080,1
えりも町,16098,1
新ひだか町,16101,1
音更町,16314,1
士幌町,16322,1
上士幌町,16331,1
鹿追町,16349,1
新得町,16357,1
清水町,16365,1
芽室町,16373,1
中札内村,16381,1
更別村,16390,1
大樹町,16411,1
広尾町,16420,1
幕別町,16438,1
池田町,16446,1
豊頃町,16454,1
本別町,16462,1
足寄町,16471,1
陸別町,16489,1
浦幌町,16497,1
釧路町,16616,1
厚岸町,16624,1
浜中町,16632,1
標茶町,16641,1
弟子屈町,16659,1
鶴居村,16675,1
白糠町,16683,1
別海町,16918,1
中標津町,16926,1
