name,region_id,region_name
北海道,1,北海道地方
青森県,2,東北地方
岩手県,2,東北地方
宮城県,2,東北地方
秋田県,2,東北地方
山形県,2,東北地方
福島県,2,東北地方
茨城県,3,関東地方
栃木県,3,関東地方
群馬県,3,関東地方
埼玉県,3,関東地方
千葉県,3,関東地方
東京都,3,関東地方
神奈川県,3,関東地方
新潟県,4,中部地方
富山県,4,中部地方
石川県,4,中部地方
福井県,4,中部地方
山梨県,4,中部地方
長野県,4,中部地方
岐阜県,4,中部地方
静岡県,4,中部地方
愛知県,4,中部地方
三重県,5,関西地方
滋賀県,5,関西地方
京都府,5,関西地方
大阪府,5,関西地方
兵庫県,5,関西地方
奈良県,5,関西地方
和歌山県,5,関西地方
鳥取県,6,中国地方
島根県,6,中国地方
岡山県,6,中国地方
広島県,6,中国地方
山口県,6,中国地方
徳島県,7,四国地方
香川県,7,四国地方
愛媛県,7,四国地方
高知県,7,四国地方
福岡県,8,九州・沖縄地方
佐賀県,8,九州・沖縄地方
長崎県,8,九州・沖縄地方
熊本県,8,九州・沖縄地方
大分県,8,九州・沖縄地方
宮崎県,8,九州・沖縄地方
鹿児島県,8,九州・沖縄地方
沖縄県,8,九州・沖縄地方
