name,ward_code,city_code
札幌市中央区,11011,11002
札幌市北区,11029,11002
札幌市東区,11037,11002
札幌市白石区,11045,11002
札幌市豊平区,11053,11002
札幌市南区,11061,11002
札幌市西区,11070,11002
札幌市厚別区,11088,11002
札幌市手稲区,11096,11002
札幌市清田区,11100,11002
仙台市青葉区,41017,41009
仙台市宮城野区,41025,41009
仙台市若林区,41033,41009
仙台市太白区,41041,41009
仙台市泉区,41050,41009
さいたま市西区,111015,111007
さいたま市北区,111023,111007
さいたま市大宮区,111031,111007
さいたま市見沼区,111040,111007
さいたま市中央区,111058,111007
さいたま市桜区,111066,111007
さいたま市浦和区,111074,111007
さいたま市南区,111082,111007
さいたま市緑区,111091,111007
さいたま市岩槻区,111104,111007
千葉市中央区,121011,121002
千葉市花見川区,121029,121002
千葉市稲毛区,121037,121002
千葉市若葉区,121045,121002
千葉市緑区,121053,121002
千葉市美浜区,121061,121002
横浜市鶴見区,141011,141003
横浜市神奈川区,141020,141003
横浜市西区,141038,141003
横浜市中区,141046,141003
横浜市南区,141054,141003
横浜市保土ケ谷区,141062,141003
横浜市磯子区,141071,141003
横浜市金沢区,141089,141003
横浜市港北区,141097,141003
横浜市戸塚区,141101,141003
横浜市港南区,141119,141003
横浜市旭区,141127,141003
横浜市緑区,141135,141003
横浜市瀬谷区,141143,141003
横浜市栄区,141151,141003
横浜市泉区,141160,141003
横浜市青葉区,141178,141003
横浜市都筑区,141186,141003
川崎市川崎区,141313,141305
川崎市幸区,141321,141305
川崎市中原区,141330,141305
川崎市高津区,141348,141305
川崎市多摩区,141356,141305
川崎市宮前区,141364,141305
川崎市麻生区,141372,141305
相模原市緑区,141518,141500
相模原市中央区,141526,141500
相模原市南区,141534,141500
新潟市北区,151017,151009
新潟市東区,151025,151009
新潟市中央区,151033,151009
新潟市江南区,151041,151009
新潟市秋葉区,151050,151009
新潟市南区,151068,151009
新潟市西区,151076,151009
新潟市西蒲区,151084,151009
静岡市葵区,221015,221007
静岡市駿河区,221023,221007
静岡市清水区,221031,221007
浜松市中区,221317,221309
浜松市東区,221325,221309
浜松市西区,221333,221309
浜松市南区,221341,221309
浜松市北区,221350,221309
浜松市浜北区,221368,221309
浜松市天竜区,221376,221309
名古屋市千種区,231011,231002
名古屋市東区,231029,231002
名古屋市北区,231037,231002
名古屋市西区,231045,231002
名古屋市中村区,231053,231002
名古屋市中区,231061,231002
名古屋市昭和区,231070,231002
名古屋市瑞穂区,231088,231002
名古屋市熱田区,231096,231002
名古屋市中川区,231100,231002
名古屋市港区,231118,231002
名古屋市南区,231126,231002
名古屋市守山区,231134,231002
名古屋市緑区,231142,231002
名古屋市名東区,231151,231002
名古屋市天白区,231169,231002
京都市北区,261017,261009
京都市上京区,261025,261009
京都市左京区,261033,261009
京都市中京区,261041,261009
京都市東山区,261050,261009
京都市下京区,261068,261009
京都市南区,261076,261009
京都市右京区,261084,261009
京都市伏見区,261092,261009
京都市山科区,261106,261009
京都市西京区,261114,261009
大阪市都島区,271021,271004
大阪市福島区,271039,271004
大阪市此花区,271047,271004
大阪市西区,271063,271004
大阪市港区,271071,271004
大阪市大正区,271080,271004
大阪市天王寺区,271098,271004
大阪市浪速区,271110,271004
大阪市西淀川区,271136,271004
大阪市東淀川区,271144,271004
大阪市東成区,271152,271004
大阪市生野区,271161,271004
大阪市旭区,271179,271004
大阪市城東区,271187,271004
大阪市阿倍野区,271195,271004
大阪市住吉区,271209,271004
大阪市東住吉区,271217,271004
大阪市西成区,271225,271004
大阪市淀川区,271233,271004
大阪市鶴見区,271241,271004
大阪市住之江区,271250,271004
大阪市平野区,271268,271004
大阪市北区,271276,271004
大阪市中央区,271284,271004
堺市堺区,271411,271403
堺市中区,271420,271403
堺市東区,271438,271403
堺市西区,271446,271403
堺市南区,271454,271403
堺市北区,271462,271403
堺市美原区,271471,271403
神戸市東灘区,281018,281000
神戸市灘区,281026,281000
神戸市兵庫区,281051,281000
神戸市長田区,281069,281000
神戸市須磨区,281077,281000
神戸市垂水区,281085,281000
神戸市北区,281093,281000
神戸市中央区,281107,281000
神戸市西区,281115,281000
岡山市北区,331015,331007
岡山市中区,331023,331007
岡山市東区,331031,331007
岡山市南区,331040,331007
広島市中区,341011,341002
広島市東区,341029,341002
広島市南区,341037,341002
広島市西区,341045,341002
広島市安佐南区,341053,341002
広島市安佐北区,341061,341002
広島市安芸区,341070,341002
広島市佐伯区,341088,341002
北九州市門司区,401013,401005
北九州市若松区,401030,401005
北九州市戸畑区,401056,401005
北九州市小倉北区,401064,401005
北九州市小倉南区,401072,401005
北九州市八幡東区,401081,401005
北九州市八幡西区,401099,401005
福岡市東区,401315,401307
福岡市博多区,401323,401307
福岡市中央区,401331,401307
福岡市南区,401340,401307
福岡市西区,401358,401307
福岡市城南区,401366,401307
福岡市早良区,401374,401307
熊本市中央区,431010,431001
熊本市東区,431028,431001
熊本市西区,431036,431001
熊本市南区,431044,431001
熊本市北区,431052,431001
